candidate_id,rank,score,reasoning
CAND_0049896,56,71.75,Qualified Search Engineer (7.3 YoE) showing strong proficiency in Sentence Transformers and Information Retrieval; included despite concern regarding notice period is high at 90 days due to solid skill alignment.
CAND_0080472,57,71.725,Qualified Junior ML Engineer (4.4 YoE) showing strong proficiency in Sentence Transformers and Information Retrieval; included despite concern regarding notice period is high at 120 days due to solid skill alignment.
CAND_0084819,58,71.3,Qualified Search Engineer (4.5 YoE) showing strong proficiency in Semantic Search and OpenSearch; included despite concern regarding notice period is high at 120 days due to solid skill alignment.
CAND_0076163,59,71.25,Qualified NLP Engineer (6.9 YoE) showing strong proficiency in Semantic Search and Sentence Transformers; included despite concern regarding located internationally with no relocation willingness due to solid skill alignment.
CAND_0092706,60,71.2,Qualified AI Research Engineer (5.8 YoE) showing strong proficiency in Sentence Transformers and Hugging Face Transformers; included despite concern regarding notice period is high at 120 days due to solid skill alignment.
CAND_0049538,61,71.1875,Qualified Applied ML Engineer (5.8 YoE) showing strong proficiency in OpenSearch and Vector Search; included despite concern regarding located internationally with no relocation willingness due to solid skill alignment.
CAND_0027691,62,71.1225,Qualified NLP Engineer (6.5 YoE) showing strong proficiency in LoRA and PEFT; included despite concern regarding located internationally with no relocation willingness due to solid skill alignment.
CAND_0016659,63,71.05,Qualified ML Engineer (4.4 YoE) showing strong proficiency in Information Retrieval and TTS; included despite concern regarding located internationally with no relocation willingness due to solid skill alignment.
CAND_0099806,64,71.04,Qualified AI Engineer (4.6 YoE) showing strong proficiency in LoRA and pgvector; included despite concern regarding requires location relocation alignment due to solid skill alignment.
CAND_0008425,65,71.036,Qualified Senior NLP Engineer (7.8 YoE) showing strong proficiency in pgvector and Sentence Transformers; included despite concern regarding notice period is high at 90 days due to solid skill alignment.
CAND_0005649,66,71.005,Qualified Senior Data Scientist (7.4 YoE) showing strong proficiency in Fine-tuning LLMs and QLoRA; included despite concern regarding notice period is high at 90 days due to solid skill alignment.
CAND_0087630,67,70.84,Qualified AI Engineer (7.2 YoE) showing strong proficiency in Elasticsearch and pgvector; included despite concern regarding requires location relocation alignment due to solid skill alignment.
CAND_0093912,68,70.75,Qualified Senior Data Scientist (5.3 YoE) showing strong proficiency in Embeddings and Vector Search; included despite concern regarding located internationally with no relocation willingness due to solid skill alignment.
CAND_0035879,69,70.65,Qualified AI Research Engineer (4.5 YoE) showing strong proficiency in Python and Statistical Modeling; included despite concern regarding notice period is high at 120 days due to solid skill alignment.
CAND_0044222,70,70.6,Qualified AI Engineer (7.7 YoE) showing strong proficiency in Vector Search and OpenSearch; included despite concern regarding located internationally with no relocation willingness due to solid skill alignment.
CAND_0014858,71,70.525,Borderline pick: AI Research Engineer with 4.9 YoE who offers relevant Sentence Transformers and Vector Search experience; retained for technical depth despite weaker signals on marginal core JD match scores.
CAND_0020991,72,70.525,Borderline pick: Junior ML Engineer with 4.9 YoE who offers relevant QLoRA and Python experience; retained for technical depth despite weaker signals on a long 120-day notice period.
CAND_0040946,73,70.45,"Borderline pick: AI Research Engineer with 6.0 YoE who offers relevant NLP and Qdrant experience; retained for technical depth despite weaker signals on entire career is at IT services firms and location is Pune, Maharashtra."
CAND_0029671,74,70.15,Borderline pick: Data Scientist with 5.7 YoE who offers relevant Embeddings and Sentence Transformers experience; retained for technical depth despite weaker signals on marginal core JD match scores.
CAND_0065195,75,70.15,Borderline pick: Search Engineer with 5.1 YoE who offers relevant LLMs and QLoRA experience; retained for technical depth despite weaker signals on marginal core JD match scores.
CAND_0068351,76,70.092,Borderline pick: Lead AI Engineer with 6.4 YoE who offers relevant pgvector and Elasticsearch experience; retained for technical depth despite weaker signals on marginal core JD match scores.
CAND_0024620,77,69.975,Borderline pick: AI Engineer with 5.9 YoE who offers relevant Semantic Search and Information Retrieval experience; retained for technical depth despite weaker signals on marginal core JD match scores.
CAND_0067866,78,69.9625,"Borderline pick: Senior Software Engineer (ML) with 6.4 YoE who offers relevant Embeddings and pgvector experience; retained for technical depth despite weaker signals on entire career is at IT services firms and location is Noida, Uttar Pradesh."
CAND_0032216,79,69.885,Borderline pick: ML Engineer with 6.1 YoE who offers relevant Information Retrieval and Sentence Transformers experience; retained for technical depth despite weaker signals on marginal core JD match scores.
CAND_0000031,80,69.8125,Borderline pick: Recommendation Systems Engineer with 6.0 YoE who offers relevant Embeddings and Information Retrieval experience; retained for technical depth despite weaker signals on marginal core JD match scores.
CAND_0016657,81,69.8,Borderline pick: AI Research Engineer with 5.3 YoE who offers relevant Vector Search and PyTorch experience; retained for technical depth despite weaker signals on marginal core JD match scores.
CAND_0072688,82,69.775,Borderline pick: Data Scientist with 6.9 YoE who offers relevant Time Series and Object Detection experience; retained for technical depth despite weaker signals on marginal core JD match scores.
CAND_0017093,83,69.65,Borderline pick: ML Engineer with 5.9 YoE who offers relevant Embeddings and Data Science experience; retained for technical depth despite weaker signals on marginal core JD match scores.
CAND_0093763,84,69.625,Borderline pick: Senior Software Engineer (ML) with 5.0 YoE who offers relevant Sentence Transformers and FAISS experience; retained for technical depth despite weaker signals on marginal core JD match scores.
CAND_0043637,85,69.6,Borderline pick: Junior ML Engineer with 5.5 YoE who offers relevant PyTorch and Feature Engineering experience; retained for technical depth despite weaker signals on marginal core JD match scores.
CAND_0079284,86,69.466,Borderline pick: Machine Learning Engineer with 4.9 YoE who offers relevant QLoRA and Fine-tuning LLMs experience; retained for technical depth despite weaker signals on marginal core JD match scores.
CAND_0095457,87,69.4,Borderline pick: Data Scientist with 4.1 YoE who offers relevant NLP and Hugging Face Transformers experience; retained for technical depth despite weaker signals on marginal core JD match scores.
CAND_0086022,88,69.3,Borderline pick: Senior Applied Scientist with 5.3 YoE who offers relevant Vector Search and pgvector experience; retained for technical depth despite weaker signals on marginal core JD match scores.
CAND_0032515,89,69.25,Borderline pick: Machine Learning Engineer with 5.1 YoE who offers relevant Vector Search and QLoRA experience; retained for technical depth despite weaker signals on marginal core JD match scores.
CAND_0079064,90,69.16,Borderline pick: Senior Data Scientist with 5.2 YoE who offers relevant OpenSearch and NLP experience; retained for technical depth despite weaker signals on a long 120-day notice period.
CAND_0044855,91,69.067125,Borderline pick: Senior Data Scientist with 6.6 YoE who offers relevant Hugging Face Transformers and OpenSearch experience; retained for technical depth despite weaker signals on marginal core JD match scores.
CAND_0082086,92,69.0625,Borderline pick: Senior Software Engineer (ML) with 6.0 YoE who offers relevant Feature Engineering and FAISS experience; retained for technical depth despite weaker signals on marginal core JD match scores.
CAND_0083879,93,69.043,Borderline pick: Machine Learning Engineer with 7.1 YoE who offers relevant Fine-tuning LLMs and Hugging Face Transformers experience; retained for technical depth despite weaker signals on marginal core JD match scores.
CAND_0050454,94,69.0,Borderline pick: AI Engineer with 6.8 YoE who offers relevant QLoRA and Fine-tuning LLMs experience; retained for technical depth despite weaker signals on marginal core JD match scores.
CAND_0080766,95,68.975,Borderline pick: Staff Machine Learning Engineer with 8.8 YoE who offers relevant Search Backend and LoRA experience; retained for technical depth despite weaker signals on marginal core JD match scores.
CAND_0068456,96,68.9,Borderline pick: Data Scientist with 4.8 YoE who offers relevant Elasticsearch and Python experience; retained for technical depth despite weaker signals on a long 120-day notice period.
CAND_0054546,97,68.85,Borderline pick: AI Research Engineer with 4.9 YoE who offers relevant LoRA and Forecasting experience; retained for technical depth despite weaker signals on marginal core JD match scores.
CAND_0032996,98,68.8375,Borderline pick: Junior ML Engineer with 6.4 YoE who offers relevant NLP and QLoRA experience; retained for technical depth despite weaker signals on marginal core JD match scores.
CAND_0041610,99,68.8125,Borderline pick: Recommendation Systems Engineer with 6.7 YoE who offers relevant LoRA and Elasticsearch experience; retained for technical depth despite weaker signals on marginal core JD match scores.
CAND_0048558,100,68.7875,Borderline pick: Data Scientist with 6.7 YoE who offers relevant OpenSearch and Qdrant experience; retained for technical depth despite weaker signals on marginal core JD match scores.
